"folioviv","foliohog","numren","id_trabajo","pres_2","pres_3","pres_4"
"1401014401","1","02","1","","",""
"1401014402","1","01","1","02","",""
"1401014402","1","02","1","","",""
"1401014402","1","03","1","","",""
"1401014403","1","01","1","02","03",""
"1401014403","1","02","1","02","03",""
"1401014405","1","01","1","","",""
"1401014405","1","02","1","02","03",""
"1401031001","1","01","1","02","03","04"
"1401031002","1","01","1","02","03",""
"1401031002","1","02","1","","",""
"1401031003","1","01","1","02","03","04"
"1401031003","1","02","1","02","03",""
"1401035602","1","01","1","02","03","04"
"1401035602","1","02","1","","",""
"1401035602","1","04","1","02","",""
"1401035604","1","01","1","02","03",""
"1401035604","1","02","1","","",""
"1401035604","1","03","1","02","03","04"
"1401035604","1","03","2","","",""
"1401035605","1","01","1","02","03",""
"1401035605","1","02","1","02","03",""
"1401035606","1","01","1","","",""
"1401069701","1","02","1","02","03",""
"1401069701","1","03","1","","",""
"1401069702","1","01","1","02","03",""
"1401069703","1","04","1","","",""
"1401069705","1","02","1","","",""
"1401069705","1","03","1","","",""
"1401069706","1","01","1","02","03","04"
"1401069706","1","02","1","02","03",""
"1401076201","1","01","1","","",""
"1401076202","1","01","1","","",""
"1401076202","1","01","2","","",""
"1401076202","1","02","1","02","",""
"1401076203","1","01","1","","",""
"1401076203","1","02","1","02","03","04"
"1401076204","1","01","1","02","03",""
"1401076204","1","04","1","02","03",""
"1401076204","1","05","1","02","03","04"
"1401165502","1","02","1","02","03",""
"1401165502","1","03","1","","",""
"1401165503","1","02","1","02","03","04"
"1401165503","1","03","1","","",""
"1401165505","1","02","1","02","03",""
"1401165505","1","03","1","02","03",""
"1401394301","1","03","1","","",""
"1401394303","1","01","1","02","",""
"1401394304","1","01","1","02","03",""
"1401394306","1","01","1","","",""
"1401394306","1","02","1","","",""
"1401394306","1","03","1","02","",""
"1401404902","1","01","1","","",""
"1401404902","1","01","2","","",""
"1401404902","1","02","1","02","03","04"
"1401404904","1","01","1","","",""
"1401413801","1","03","1","02","03","04"
"1401413802","1","01","1","02","",""
"1401413802","1","02","1","","",""
"1401413804","1","03","1","02","03","04"
"1401413804","1","04","1","02","03",""
"1401413804","1","07","1","02","03","04"
"1401413805","1","01","1","","",""
"1401440401","1","01","1","","",""
"1401440401","1","02","1","","",""
"1401440404","1","01","1","","",""
"1401440404","1","03","1","02","03",""
"1401440404","1","04","1","02","03","04"
"1401440405","1","01","1","02","03","04"
"1401440405","1","02","1","02","",""
"1401440405","1","02","2","","",""
"1401440405","1","03","1","","",""
"1401440406","1","01","1","","",""
"1401465003","1","01","1","02","",""
"1401465003","1","01","2","","",""
"1401465003","1","02","1","","",""
"1401465004","1","01","1","","",""
"1401465004","1","02","1","02","03",""
"1401465004","1","03","1","02","03","04"
"1401465004","2","01","1","02","",""
"1401465004","2","02","1","","",""
"1401498601","1","01","1","02","03",""
"1401498601","1","02","1","02","03",""
"1401498602","1","02","1","","",""
"1401498602","1","02","2","","",""
"1401498602","1","03","1","","",""
"1401498603","1","01","1","","",""
"1401498603","1","02","1","","",""
"1401498604","1","01","1","","",""
"1401498604","1","03","1","02","03",""
"1401545403","1","02","1","02","03","04"
"1401545405","1","01","1","","",""
"1401545405","1","01","2","","",""
"1401545405","1","02","1","02","03","04"
"1401610701","1","02","1","02","03",""
"1401610701","1","03","1","02","03",""
"1401610702","1","01","1","02","03",""
"1401610704","1","01","1","","",""
"1401629204","1","01","1","02","03","04"
"1401629205","1","01","1","","",""
"1401737502","1","02","1","","",""
"1401737502","1","04","1","02","03",""
"1401737502","1","05","1","02","03",""
"1401737503","1","01","1","","",""
"1401737503","1","03","1","","",""
"1401737503","1","04","1","","",""
"1401737503","1","05","1","02","03",""
"1401737506","1","02","1","02","03",""
"1401784401","1","01","1","02","03","04"
"1401784401","1","02","1","02","03","04"
"1401784402","1","01","1","02","03","04"
"1401784402","1","02","1","02","03",""
"1401784403","1","01","1","02","03","04"
"1401784403","1","02","1","","",""
"1401784403","1","03","1","02","03",""
"1401784403","1","03","2","","",""
"1401784403","1","04","1","02","03","04"
"1401784404","1","01","1","02","03",""
"1401784404","1","02","1","","",""
"1401784404","1","03","1","02","03",""
"1401784404","1","04","1","","",""
"1401784406","1","01","1","02","",""
"1401784406","1","03","1","02","03","04"
"1401784406","1","04","1","02","03",""
"1401784406","1","04","2","02","",""
"1401810302","1","01","1","02","03","04"
"1401810302","1","02","1","02","03","04"
"1401810303","1","01","1","02","03",""
"1401810303","1","02","1","02","03","04"
"1401810304","1","03","1","02","03",""
"1401810305","1","03","1","","",""
"1401810306","1","01","1","02","03","04"
"1401810306","1","02","1","02","03",""
"1401866904","1","01","1","02","03",""
"1401866904","1","02","1","02","03",""
"1401866904","1","04","1","","",""
"1401866905","1","03","1","02","",""
"1401866906","1","03","1","","",""
"1401866906","1","04","1","","",""
"1401866906","1","04","2","","",""
"1401884006","1","01","1","","",""
"1401884006","1","03","1","02","03","04"
"1402026002","1","01","1","","",""
"1402026003","1","01","1","","",""
"1402026005","1","01","1","02","03",""
"1402026005","1","02","1","","",""
"1402026006","1","01","1","02","03","04"
"1402083602","1","01","1","","",""
"1402083602","1","02","1","02","03","04"
"1402083602","1","03","1","","",""
"1402083602","1","04","1","","",""
"1402083602","1","05","1","","",""
"1402083602","1","06","1","","",""
"1402083605","1","01","1","","",""
"1402083605","1","02","1","02","03","04"
"1402090801","1","01","1","02","03",""
"1402090801","1","02","1","02","03",""
"1402090801","1","03","1","02","03",""
"1402090802","1","01","1","02","03",""
"1402090802","1","02","1","","",""
"1402090802","1","03","1","","",""
"1402090803","1","01","1","","",""
"1402090806","1","01","1","","",""
"1402090806","1","03","1","02","03",""
"1402218401","1","01","1","02","03","04"
"1402218401","1","02","1","02","03","04"
"1402218402","1","01","1","02","03",""
"1402218402","1","03","1","","",""
"1402218402","1","04","1","02","03",""
"1402218403","1","02","1","02","03",""
"1402218405","1","03","1","02","03",""
"1402218405","1","04","1","02","03","04"
"1402218406","1","01","1","","",""
"1402260001","1","01","1","02","03","04"
"1402260001","1","02","1","","",""
"1402260001","1","03","1","02","03",""
"1402260001","1","04","1","02","03","04"
"1402260004","1","01","1","02","03","04"
"1402260004","1","03","1","02","03",""
"1402260004","1","04","1","02","","04"
"1402260006","1","03","1","02","03",""
"1402260006","1","04","1","","",""
"1402284602","1","01","1","02","03","04"
"1402284602","1","02","1","","03",""
"1402284603","1","01","1","02","03",""
"1402284603","1","02","1","","",""
"1402284605","1","02","1","","",""
"1402284605","1","03","1","02","03",""
"1402284605","1","04","1","02","03","04"
"1402284605","1","05","1","","",""
"1402300701","1","01","1","","",""
"1402300703","1","01","1","","",""
"1402300703","1","02","1","02","03",""
"1402300704","1","01","1","","",""
"1402300704","1","02","1","","",""
