"folioviv","tipo_viv","dotac_agua","disp_elect","tenencia","ubica_geo","est_socio","edo"
"1401165502","1","1","1","2","14039","3","14"
"1401165503","1","1","1","2","14039","3","14"
"1401165505","1","1","1","1","14039","3","14"
"1401394301","3","1","1","4","14039","3","14"
"1401394303","1","1","1","1","14039","3","14"
"1401394304","1","1","1","1","14039","3","14"
"1401394306","1","1","1","1","14039","3","14"
"1401404902","1","1","1","1","14039","3","14"
"1401404904","1","1","1","1","14039","3","14"
"1401404906","1","1","1","4","14039","3","14"
"1401413801","1","1","1","1","14039","3","14"
"1401413802","2","1","1","1","14039","3","14"
"1401413804","1","1","1","2","14039","3","14"
"1401413805","1","1","1","4","14039","3","14"
"1401440401","1","1","1","1","14039","3","14"
"1401440403","1","1","1","4","14039","3","14"
"1401440404","1","1","1","1","14039","3","14"
"1401440405","1","1","1","1","14039","3","14"
"1401440406","1","1","1","2","14039","3","14"
"1401465001","1","1","1","2","14039","3","14"
"1401465003","1","1","1","2","14039","3","14"
"1401465004","1","1","1","1","14039","3","14"
"1401465005","1","1","1","1","14039","3","14"
"1401498601","1","1","1","1","14039","3","14"
"1401498602","1","1","1","2","14039","3","14"
"1401498603","1","1","1","2","14039","3","14"
"1401498604","1","1","1","4","14039","3","14"
"1401545403","1","1","1","4","14039","4","14"
"1401545405","2","1","1","2","14039","4","14"
"1401610701","1","1","1","1","14039","3","14"
"1401610702","2","1","1","2","14039","3","14"
"1401610704","1","1","1","3","14039","3","14"
"1401610705","1","1","1","2","14039","3","14"
"1401610706","1","1","1","2","14039","3","14"
"1401629203","3","1","1","1","14039","3","14"
"1401629204","1","1","1","1","14039","3","14"
"1401629205","1","1","1","4","14039","3","14"
"1401737502","1","1","1","4","14039","3","14"
"1401737503","1","1","1","4","14039","3","14"
"1401737504","1","1","1","4","14039","3","14"
"1401737506","1","1","1","1","14039","3","14"
"1401784401","1","1","1","1","14039","2","14"
"1401784402","1","1","1","1","14039","2","14"
"1401784403","1","1","1","3","14039","2","14"
"1401784404","1","1","1","2","14039","2","14"
"1401784405","1","1","1","2","14039","2","14"
"1401784406","1","1","1","1","14039","2","14"
"1401810302","1","1","1","1","14039","3","14"
"1401810303","1","1","1","4","14039","3","14"
"1401810304","1","1","1","4","14039","3","14"
"1401810305","1","1","1","4","14039","3","14"
"1401810306","1","1","1","4","14039","3","14"
"1401866904","1","1","1","3","14039","3","14"
"1401866905","1","1","1","4","14039","3","14"
"1401866906","1","1","1","4","14039","3","14"
"1401884002","1","1","1","4","14039","4","14"
"1401884005","1","1","1","1","14039","4","14"
"1401884006","1","1","1","4","14039","4","14"
"1402026002","1","1","1","2","14039","2","14"
"1402026003","1","1","1","2","14039","2","14"
"1402026005","1","1","1","4","14039","2","14"
"1402026006","1","1","1","2","14039","2","14"
"1402083602","1","1","1","4","14039","4","14"
"1402083605","5","1","1","4","14039","4","14"
"1402083606","1","1","1","2","14039","4","14"
"1402090801","2","1","1","1","14039","3","14"
"1402090802","2","1","1","2","14039","3","14"
"1402090803","2","1","1","1","14039","3","14"
"1402090806","1","1","1","4","14039","3","14"
"1402218401","1","1","1","3","14039","3","14"
"1402218402","1","1","1","4","14039","3","14"
"1402218403","1","1","1","4","14039","3","14"
"1402218405","2","1","1","4","14039","3","14"
"1402218406","2","1","1","2","14039","3","14"
"1402260001","1","1","1","4","14039","3","14"
"1402260002","2","1","1","1","14039","3","14"
"1402260004","1","1","1","4","14039","3","14"
"1402260006","1","1","1","4","14039","3","14"
